contract_id,vendor_name,contract_value,contract_date,department,procurement_type,location_state,duration_months,classification
IND-CTR-2024-1069,Saraswat Defence,86.15,30/1/2023,Indian Army,Electronics,Manipur,17,Standard
IND-CTR-2025-1010,Walchandnagar Industries,32.4,30/1/2023,Ministry of Home Affairs (CAPF),IT Services,Jammu & Kashmir,27,Small
IND-CTR-2023-1547,Garden Reach Shipbuilders & Engineers,87.4,31/1/2023,DRDO,Electronics,Tripura,19,Standard
IND-CTR-2024-1533,Taneja Aerospace,19.07,1/2/2023,ISRO,IT Services,Nagaland,30,Small
IND-CTR-2023-0141,Centum Electronics,71.66,3/2/2023,Indian Coast Guard,Communications,Uttar Pradesh,16,Standard
IND-CTR-2025-0354,Suryadipta Projects,11.08,4/2/2023,Ministry of Home Affairs (CAPF),Communications,Assam,15,Small
IND-CTR-2023-0104,Paras Defence & Space Technologies,45.62,6/2/2023,Indian Coast Guard,Ammunition,Jammu & Kashmir,9,Small
IND-CTR-2025-0299,Paras Defence & Space Technologies,2074.29,6/2/2023,Ministry of Home Affairs (CAPF),Aircraft,Goa,37,Major
IND-CTR-2025-0841,Larsen & Toubro Defence,11.57,7/2/2023,Ministry of Defence (MoD),Drones/UAV,Himachal Pradesh,10,Small
IND-CTR-2023-0890,Centum Electronics,74.87,9/2/2023,Indian Navy,Vehicles,Assam,24,Standard
IND-CTR-2023-0952,Samtel Avionics,200,9/2/2023,ISRO,Helicopters,Uttar Pradesh,33,Standard
IND-CTR-2023-1663,Ordnance Factory Board,500,10/2/2023,Ministry of Home Affairs (CAPF),Aircraft,Uttarakhand,36,Standard
IND-CTR-2023-0979,Bharat Forge Defence,143.09,11/2/2023,Indian Air Force,Ammunition,Meghalaya,10,Standard
IND-CTR-2025-1380,Bharat Heavy Electricals Limited (BHEL),43.78,11/2/2023,Ministry of Home Affairs (CAPF),Vehicles,Goa,21,Small
IND-CTR-2023-0824,Kalyani Strategic Systems,36.94,12/2/2023,Ministry of Home Affairs (CAPF),Communications,Kerala,20,Small
IND-CTR-2025-1853,Paras Defence & Space Technologies,37.08,12/2/2023,Ministry of Defence (MoD),Electronics,Tamil Nadu,17,Small
IND-CTR-2025-1445,Samtel Avionics,244.17,14/2/2023,Ministry of Home Affairs (CAPF),Radars,Rajasthan,36,Standard
IND-CTR-2025-1510,Sika Interplant,59.83,15/2/2023,Indian Air Force,Electronics,Uttarakhand,22,Standard
IND-CTR-2023-0079,Bharat Heavy Electricals Limited (BHEL),40.17,16/2/2023,Indian Coast Guard,IT Services,Bihar,23,Small
IND-CTR-2023-0087,Saraswat Defence,10.05,16/2/2023,Ministry of Home Affairs (CAPF),Maintenance & MRO,Gujarat,8,Small
IND-CTR-2024-0774,Godrej Aerospace,201.12,16/2/2023,Indian Navy,Vehicles,Telangana,27,Standard
IND-CTR-2023-0913,Walchandnagar Industries,762.5,17/2/2023,Ministry of Defence (MoD),Missiles,Maharashtra,42,Major
IND-CTR-2024-0729,Godrej Aerospace,12.4,18/2/2023,DRDO,Drones/UAV,Punjab,21,Small
IND-CTR-2024-1517,Suryadipta Projects,186.59,18/2/2023,Ministry of Home Affairs (CAPF),Space Systems,Karnataka,49,Standard
IND-CTR-2025-0222,Samtel Avionics,31.33,18/2/2023,Ministry of Defence (MoD),Communications,Arunachal Pradesh,14,Small
IND-CTR-2025-0411,IdeaForge,145.68,18/2/2023,Indian Air Force,Vehicles,Assam,19,Standard
IND-CTR-2025-0526,Electronics Corporation of India Limited (ECIL),96.55,18/2/2023,Indian Air Force,Electronics,Meghalaya,17,Standard
IND-CTR-2023-0412,Tata Power SED,2765,19/2/2023,Ministry of Defence (MoD),Naval Ships,Himachal Pradesh,71,Major
IND-CTR-2023-0799,Tonbo Imaging,152.9,19/2/2023,Indian Navy,Artillery,West Bengal,30,Standard
IND-CTR-2025-1567,Bharat Heavy Electricals Limited (BHEL),111.29,19/2/2023,Indian Coast Guard,Electronics,Madhya Pradesh,17,Standard
IND-CTR-2023-0140,Bharat Forge Defence,187.13,20/2/2023,Indian Army,Electronics,Mizoram,16,Standard
IND-CTR-2024-1394,DRDO - LRDE,20.52,20/2/2023,Indian Coast Guard,Training & Simulation,Delhi,11,Small
IND-CTR-2025-1745,Cochin Shipyard Limited,800,21/2/2023,Indian Air Force,Vehicles,Jammu & Kashmir,19,Major
IND-CTR-2023-0015,Garden Reach Shipbuilders & Engineers,38.76,22/2/2023,Indian Army,Vehicles,Jammu & Kashmir,24,Small
IND-CTR-2023-0152,BEML Limited,43.77,22/2/2023,ISRO,Training & Simulation,Goa,10,Small
IND-CTR-2023-0684,NewSpace Research & Technologies,36.96,22/2/2023,Ministry of Home Affairs (CAPF),Communications,Ladakh,23,Small
IND-CTR-2023-1630,Kalyani Strategic Systems,37.08,22/2/2023,Ministry of Defence (MoD),IT Services,Nagaland,12,Small
IND-CTR-2024-0709,Bharat Electronics Limited (BEL),7.84,22/2/2023,Indian Army,Drones/UAV,Madhya Pradesh,16,Small
IND-CTR-2025-0291,Bharat Forge Defence,398.41,23/2/2023,Indian Coast Guard,Engines,Assam,43,Standard
IND-CTR-2025-1129,Adani Defence & Aerospace,255.24,23/2/2023,ISRO,Artillery,Nagaland,30,Standard
IND-CTR-2024-1403,Tata Power SED,4985.08,24/2/2023,Indian Army,Aircraft,Chhattisgarh,68,Major
IND-CTR-2023-1689,DRDO - RCI,31.11,25/2/2023,DRDO,Communications,Nagaland,22,Small
IND-CTR-2023-1770,Bharat Electronics Limited (BEL),1561.14,25/2/2023,Indian Air Force,Aircraft,Sikkim,39,Major
IND-CTR-2024-1008,Ordnance Factory Board,138.19,25/2/2023,Indian Army,Radars,Telangana,23,Standard
IND-CTR-2024-1453,Tata Power SED,62.2,25/2/2023,Indian Coast Guard,Vehicles,Tripura,22,Standard
IND-CTR-2023-1426,Taneja Aerospace,15.39,26/2/2023,Indian Navy,Maintenance & MRO,Kerala,16,Small
IND-CTR-2024-0545,Ananth Technologies,43.7,26/2/2023,Indian Air Force,Drones/UAV,Andhra Pradesh,16,Small
IND-CTR-2023-0552,IdeaForge,353.77,27/2/2023,DRDO,Radars,Delhi,36,Standard
IND-CTR-2025-1503,Walchandnagar Industries,447.42,27/2/2023,Indian Air Force,Satellites,Tamil Nadu,34,Standard
IND-CTR-2023-0353,Alpha Design Technologies,94.8,28/2/2023,DRDO,Electronics,Punjab,20,Standard
IND-CTR-2024-0878,Bharat Heavy Electricals Limited (BHEL),20.02,28/2/2023,ISRO,Drones/UAV,Kerala,16,Small
IND-CTR-2023-0327,Sika Interplant,129.58,1/3/2023,ISRO,Maintenance & MRO,Ladakh,11,Standard
IND-CTR-2023-0941,Bharat Electronics Limited (BEL),56.16,1/3/2023,ISRO,Vehicles,Manipur,28,Standard
IND-CTR-2023-1021,Hindustan Shipyard Limited,1114.87,1/3/2023,Ministry of Defence (MoD),Naval Ships,Assam,48,Major
IND-CTR-2025-1607,Adani Defence & Aerospace,77.94,1/3/2023,Indian Coast Guard,Electronics,Himachal Pradesh,16,Standard
IND-CTR-2024-0845,Data Patterns,66.87,2/3/2023,DRDO,Radars,Madhya Pradesh,29,Standard
IND-CTR-2025-1863,BEML Limited,293.7,2/3/2023,Indian Navy,Vehicles,Karnataka,22,Standard
IND-CTR-2025-1988,Avantel,39.4,2/3/2023,ISRO,Drones/UAV,Gujarat,12,Small
IND-CTR-2025-1402,Adani Defence & Aerospace,55.22,3/3/2023,Indian Army,Communications,Chhattisgarh,18,Standard
IND-CTR-2024-0838,Garden Reach Shipbuilders & Engineers,17.13,4/3/2023,Indian Navy,Drones/UAV,Punjab,12,Small
IND-CTR-2024-1655,Cochin Shipyard Limited,71.4,4/3/2023,Indian Coast Guard,Electronics,Bihar,17,Standard
IND-CTR-2025-0586,Tata Power SED,555.81,4/3/2023,Indian Army,Engines,Goa,29,Major
IND-CTR-2023-1480,Mahindra Defence Systems,82.68,5/3/2023,Indian Coast Guard,Radars,Punjab,33,Standard
IND-CTR-2023-1774,Tonbo Imaging,1336.93,6/3/2023,ISRO,Aircraft,Madhya Pradesh,47,Major
IND-CTR-2023-1949,Data Patterns,137.82,6/3/2023,Indian Navy,Vehicles,Telangana,20,Standard
IND-CTR-2024-1810,Kalyani Strategic Systems,303.11,6/3/2023,ISRO,Vehicles,Jammu & Kashmir,17,Standard
IND-CTR-2025-0134,VEM Technologies,72.5,6/3/2023,DRDO,Drones/UAV,Tamil Nadu,14,Standard
IND-CTR-2025-0948,Kalyani Strategic Systems,490.62,6/3/2023,Indian Air Force,Satellites,Tamil Nadu,44,Standard
IND-CTR-2024-0503,Bharat Heavy Electricals Limited (BHEL),1264.81,7/3/2023,Indian Army,Helicopters,Uttarakhand,33,Major
IND-CTR-2024-1463,BEML Limited,235.78,7/3/2023,Ministry of Home Affairs (CAPF),Radars,Tamil Nadu,42,Standard
IND-CTR-2025-1144,IdeaForge,416.32,7/3/2023,ISRO,Vehicles,Sikkim,24,Standard
IND-CTR-2025-1525,BEML Limited,48.95,7/3/2023,ISRO,Electronics,Delhi,20,Small
IND-CTR-2025-1162,Cochin Shipyard Limited,245.66,8/3/2023,Ministry of Defence (MoD),Engines,Kerala,25,Standard
IND-CTR-2025-1440,Larsen & Toubro Defence,21.05,9/3/2023,Indian Coast Guard,IT Services,Uttar Pradesh,26,Small
IND-CTR-2023-0423,Kalyani Strategic Systems,71.01,11/3/2023,Ministry of Defence (MoD),Artillery,Chhattisgarh,29,Standard
IND-CTR-2023-1935,Saraswat Defence,545.61,11/3/2023,DRDO,Aircraft,Mizoram,55,Major
IND-CTR-2023-1411,Sika Interplant,4580.22,12/3/2023,ISRO,Naval Ships,Delhi,57,Major
IND-CTR-2024-1771,Centum Electronics,60.91,12/3/2023,Indian Air Force,Drones/UAV,Tamil Nadu,11,Standard
IND-CTR-2024-0962,Paras Defence & Space Technologies,234.06,13/3/2023,DRDO,Engines,Punjab,25,Standard
IND-CTR-2023-0160,Samtel Avionics,1589.52,14/3/2023,DRDO,Aircraft,Jammu & Kashmir,33,Major
IND-CTR-2023-1910,Mahindra Defence Systems,2220.4,14/3/2023,Ministry of Defence (MoD),Aircraft,Assam,48,Major
IND-CTR-2024-1215,Samtel Avionics,7,14/3/2023,ISRO,Maintenance & MRO,Ladakh,17,Small
IND-CTR-2024-1500,Godrej Aerospace,133.18,14/3/2023,Ministry of Defence (MoD),Vehicles,Delhi,20,Standard
IND-CTR-2025-1089,Paras Defence & Space Technologies,17.66,14/3/2023,Ministry of Home Affairs (CAPF),Electronics,Manipur,18,Small
IND-CTR-2024-0682,Samtel Avionics,1432.17,15/3/2023,Indian Army,Satellites,Manipur,47,Major
IND-CTR-2024-1933,Alpha Design Technologies,6412.59,15/3/2023,Indian Coast Guard,Submarines,Tripura,75,Major
IND-CTR-2023-0177,Astra Microwave,36.34,16/3/2023,Indian Navy,Cybersecurity,Bihar,19,Small
IND-CTR-2024-1912,Ananth Technologies,158.8,17/3/2023,Indian Air Force,Radars,Tripura,28,Standard
IND-CTR-2023-0642,Electronics Corporation of India Limited (ECIL),10.31,18/3/2023,Ministry of Defence (MoD),Training & Simulation,Tamil Nadu,12,Small
IND-CTR-2024-1849,Larsen & Toubro Defence,59.4,18/3/2023,Ministry of Defence (MoD),Electronics,Meghalaya,16,Standard
IND-CTR-2025-0417,Saraswat Defence,18.95,18/3/2023,ISRO,Communications,Assam,19,Small
IND-CTR-2023-1231,Suryadipta Projects,170.52,19/3/2023,Indian Navy,Vehicles,Tripura,22,Standard
IND-CTR-2023-1131,Tata Advanced Systems,251.37,20/3/2023,Ministry of Defence (MoD),Missiles,Delhi,39,Standard
IND-CTR-2025-1308,Alpha Design Technologies,40.79,20/3/2023,Ministry of Home Affairs (CAPF),IT Services,Bihar,19,Small
IND-CTR-2025-0123,DRDO - RCI,53.71,21/3/2023,DRDO,Radars,Haryana,31,Standard
IND-CTR-2025-1992,Larsen & Toubro Defence,77.54,21/3/2023,Indian Coast Guard,IT Services,Sikkim,9,Standard
IND-CTR-2025-0036,NewSpace Research & Technologies,54.41,22/3/2023,Indian Navy,Vehicles,Odisha,19,Standard
IND-CTR-2025-1424,NewSpace Research & Technologies,30.02,22/3/2023,Ministry of Home Affairs (CAPF),Maintenance & MRO,Kerala,19,Small
IND-CTR-2023-0875,Sika Interplant,42.2,23/3/2023,ISRO,Cybersecurity,Telangana,13,Small
IND-CTR-2024-0307,Bharat Dynamics Limited (BDL),1316.35,23/3/2023,DRDO,Satellites,Sikkim,55,Major
IND-CTR-2024-0754,Garden Reach Shipbuilders & Engineers,170.51,23/3/2023,DRDO,Artillery,West Bengal,34,Standard
IND-CTR-2024-0674,Taneja Aerospace,34.77,24/3/2023,Indian Air Force,IT Services,Odisha,19,Small
IND-CTR-2024-1048,Bharat Electronics Limited (BEL),21.19,24/3/2023,DRDO,Electronics,Nagaland,24,Small
IND-CTR-2025-1559,Aequs Aerospace,32.47,24/3/2023,Ministry of Defence (MoD),Ammunition,Meghalaya,11,Small
IND-CTR-2023-0617,Mahindra Defence Systems,26.71,25/3/2023,DRDO,Drones/UAV,Uttar Pradesh,19,Small
IND-CTR-2024-0433,NewSpace Research & Technologies,1660.16,25/3/2023,Indian Air Force,Helicopters,Jammu & Kashmir,39,Major
IND-CTR-2024-0801,VEM Technologies,62.49,25/3/2023,ISRO,Communications,Bihar,20,Standard
IND-CTR-2024-1329,Ananth Technologies,342.72,25/3/2023,Indian Air Force,Electronics,Tripura,24,Standard
IND-CTR-2025-0621,Aequs Aerospace,1515.79,25/3/2023,ISRO,Space Systems,Chhattisgarh,40,Major
IND-CTR-2023-1187,NewSpace Research & Technologies,158.47,26/3/2023,Indian Navy,Missiles,Meghalaya,57,Standard
IND-CTR-2025-0139,Samtel Avionics,1194.5,26/3/2023,Ministry of Defence (MoD),Aircraft,Punjab,43,Major
IND-CTR-2023-1347,Samtel Avionics,2261.4,27/3/2023,Indian Coast Guard,Aircraft,Goa,40,Major
IND-CTR-2023-1676,VEM Technologies,295.37,28/3/2023,Ministry of Defence (MoD),Vehicles,Chhattisgarh,21,Standard
IND-CTR-2024-0231,Garden Reach Shipbuilders & Engineers,22.53,28/3/2023,Indian Coast Guard,Communications,Arunachal Pradesh,28,Small
IND-CTR-2024-1191,Electronics Corporation of India Limited (ECIL),23.4,29/3/2023,Ministry of Defence (MoD),Communications,Arunachal Pradesh,21,Small
IND-CTR-2025-1079,Tata Advanced Systems,604.49,29/3/2023,Ministry of Defence (MoD),Missiles,Tamil Nadu,48,Major
IND-CTR-2023-0589,Tonbo Imaging,53.93,30/3/2023,DRDO,Communications,Madhya Pradesh,23,Standard
IND-CTR-2023-1880,Bharat Electronics Limited (BEL),500,30/3/2023,Ministry of Defence (MoD),Ammunition,Tamil Nadu,13,Standard
IND-CTR-2024-1916,Tonbo Imaging,56,30/3/2023,Ministry of Home Affairs (CAPF),Artillery,Maharashtra,31,Standard
IND-CTR-2024-0128,Samtel Avionics,52.41,31/3/2023,Indian Air Force,Electronics,Uttarakhand,17,Standard
IND-CTR-2024-0726,Bharat Electronics Limited (BEL),57.08,31/3/2023,Indian Coast Guard,Communications,Bihar,14,Standard
IND-CTR-2024-0925,Tonbo Imaging,2429.64,31/3/2023,Indian Navy,Aircraft,Bihar,42,Major
IND-CTR-2025-0182,Bharat Dynamics Limited (BDL),105.42,31/3/2023,DRDO,Electronics,Madhya Pradesh,22,Standard
IND-CTR-2025-1194,Ananth Technologies,5964.69,31/3/2023,DRDO,Naval Ships,Chhattisgarh,62,Major
IND-CTR-2025-1694,IdeaForge,249.27,31/3/2023,Indian Army,Radars,Delhi,32,Standard
IND-CTR-2024-1474,Taneja Aerospace,1643.06,2/4/2023,Ministry of Home Affairs (CAPF),Space Systems,Tripura,48,Major
IND-CTR-2025-0885,Godrej Aerospace,28.86,2/4/2023,Indian Air Force,Communications,West Bengal,14,Small
IND-CTR-2024-0869,IdeaForge,2073.64,3/4/2023,Indian Air Force,Helicopters,Rajasthan,46,Major
IND-CTR-2025-0156,Bharat Electronics Limited (BEL),118.08,3/4/2023,ISRO,Radars,Jharkhand,44,Standard
IND-CTR-2025-1039,Electronics Corporation of India Limited (ECIL),51.48,3/4/2023,Indian Navy,Ammunition,Arunachal Pradesh,15,Standard
IND-CTR-2023-1303,Sika Interplant,145.3,4/4/2023,Indian Coast Guard,Vehicles,Tamil Nadu,18,Standard
IND-CTR-2023-1731,Bharat Forge Defence,67.22,4/4/2023,Ministry of Home Affairs (CAPF),IT Services,Arunachal Pradesh,21,Standard
IND-CTR-2024-0154,NewSpace Research & Technologies,131.46,5/4/2023,Ministry of Defence (MoD),Electronics,Haryana,17,Standard
IND-CTR-2023-0025,DRDO - LRDE,12.45,6/4/2023,DRDO,IT Services,Delhi,23,Small
IND-CTR-2023-0103,Bharat Dynamics Limited (BDL),666.46,6/4/2023,Ministry of Home Affairs (CAPF),Helicopters,Kerala,33,Major
IND-CTR-2023-1431,Samtel Avionics,573.22,6/4/2023,Ministry of Home Affairs (CAPF),Helicopters,Assam,40,Major
IND-CTR-2024-1085,Data Patterns,28.28,6/4/2023,Ministry of Home Affairs (CAPF),Electronics,Arunachal Pradesh,15,Small
IND-CTR-2025-0807,Bharat Forge Defence,19.9,8/4/2023,ISRO,Maintenance & MRO,Haryana,14,Small
IND-CTR-2025-0050,Kalyani Strategic Systems,188.94,9/4/2023,Indian Navy,Vehicles,Rajasthan,25,Standard
IND-CTR-2025-0292,Hindustan Shipyard Limited,1644.95,9/4/2023,Ministry of Defence (MoD),Satellites,West Bengal,47,Major
IND-CTR-2025-1570,Bharat Heavy Electricals Limited (BHEL),11.44,9/4/2023,Indian Navy,Maintenance & MRO,Telangana,15,Small
IND-CTR-2024-1381,Samtel Avionics,990.61,11/4/2023,Ministry of Defence (MoD),Missiles,Meghalaya,52,Major
IND-CTR-2025-1385,BEML Limited,39.92,11/4/2023,Indian Coast Guard,Vehicles,Tripura,21,Small
IND-CTR-2023-0389,Astra Microwave,161.11,12/4/2023,Indian Coast Guard,Vehicles,Meghalaya,20,Standard
IND-CTR-2024-1481,Cochin Shipyard Limited,436.7,12/4/2023,Indian Army,Missiles,Delhi,55,Standard
IND-CTR-2025-0336,DRDO - LRDE,601.54,12/4/2023,Indian Navy,Helicopters,Nagaland,50,Major
IND-CTR-2025-0710,Taneja Aerospace,60.24,12/4/2023,Indian Army,Communications,Maharashtra,16,Standard
IND-CTR-2023-0341,Mahindra Defence Systems,26.57,13/4/2023,Indian Army,IT Services,Gujarat,12,Small
IND-CTR-2025-1710,Mahindra Defence Systems,1573.92,13/4/2023,Indian Army,Naval Ships,Odisha,72,Major
IND-CTR-2025-1889,Tata Advanced Systems,2612.34,13/4/2023,DRDO,Naval Ships,Manipur,57,Major
IND-CTR-2024-1895,Data Patterns,562.24,15/4/2023,Indian Coast Guard,Missiles,Haryana,35,Major
IND-CTR-2024-1820,Paras Defence & Space Technologies,105.67,16/4/2023,Indian Coast Guard,Communications,Sikkim,13,Standard
IND-CTR-2024-0626,NewSpace Research & Technologies,15.81,17/4/2023,Ministry of Home Affairs (CAPF),Drones/UAV,Bihar,13,Small
IND-CTR-2025-0161,Aequs Aerospace,270.17,17/4/2023,Indian Air Force,Radars,Nagaland,41,Standard
IND-CTR-2025-0405,Bharat Forge Defence,13.56,18/4/2023,Indian Coast Guard,Drones/UAV,Telangana,11,Small
IND-CTR-2023-1899,Kalyani Strategic Systems,22.89,19/4/2023,DRDO,IT Services,Haryana,12,Small
IND-CTR-2024-0785,Tonbo Imaging,1140.83,19/4/2023,Indian Coast Guard,Missiles,Chhattisgarh,53,Major
IND-CTR-2023-1273,DRDO - ADE,60.56,20/4/2023,Indian Army,Vehicles,Manipur,30,Standard
IND-CTR-2025-1843,Sika Interplant,835.44,20/4/2023,Ministry of Defence (MoD),Space Systems,Haryana,28,Major
IND-CTR-2023-0153,DRDO - LRDE,12.78,21/4/2023,Indian Navy,Communications,Haryana,13,Small
IND-CTR-2023-0947,Bharat Electronics Limited (BEL),22.91,22/4/2023,Indian Navy,Maintenance & MRO,Delhi,10,Small
IND-CTR-2023-1004,Garden Reach Shipbuilders & Engineers,3037.89,22/4/2023,DRDO,Space Systems,Uttar Pradesh,30,Major
IND-CTR-2023-1833,VEM Technologies,48.07,22/4/2023,ISRO,Vehicles,Uttar Pradesh,18,Small
IND-CTR-2024-0034,Walchandnagar Industries,1325.93,23/4/2023,Indian Army,Aircraft,Jammu & Kashmir,31,Major
IND-CTR-2024-0916,Electronics Corporation of India Limited (ECIL),3735.45,23/4/2023,Ministry of Defence (MoD),Missiles,Meghalaya,39,Major
IND-CTR-2024-0436,Astra Microwave,129.03,24/4/2023,Indian Air Force,Vehicles,Ladakh,20,Standard
IND-CTR-2023-0301,Bharat Heavy Electricals Limited (BHEL),40.09,25/4/2023,Indian Army,IT Services,Arunachal Pradesh,26,Small
IND-CTR-2024-0245,Larsen & Toubro Defence,540.56,25/4/2023,Ministry of Defence (MoD),Space Systems,Kerala,36,Major
IND-CTR-2024-0753,Alpha Design Technologies,710.66,26/4/2023,ISRO,Artillery,Odisha,29,Major
IND-CTR-2025-1126,Bharat Forge Defence,111.69,26/4/2023,Indian Coast Guard,Vehicles,Goa,25,Standard
IND-CTR-2024-0448,Samtel Avionics,133.28,27/4/2023,ISRO,Electronics,Ladakh,13,Standard
IND-CTR-2024-0652,Kalyani Strategic Systems,503.33,27/4/2023,ISRO,Engines,Punjab,30,Major
IND-CTR-2025-1213,Walchandnagar Industries,165.52,27/4/2023,ISRO,Vehicles,Rajasthan,12,Standard
IND-CTR-2024-0519,Bharat Electronics Limited (BEL),58.7,28/4/2023,DRDO,Drones/UAV,Madhya Pradesh,15,Standard
IND-CTR-2024-1653,Hindustan Aeronautics Limited (HAL),214.12,28/4/2023,Ministry of Defence (MoD),Vehicles,Jharkhand,17,Standard
IND-CTR-2023-0714,VEM Technologies,865.09,29/4/2023,Ministry of Home Affairs (CAPF),Helicopters,Nagaland,44,Major
IND-CTR-2023-1349,Centum Electronics,236.6,30/4/2023,Ministry of Home Affairs (CAPF),Artillery,West Bengal,44,Standard
